constructor_Id,constructor_Ref,name,nationality,time_stamp
99,emeryson,Emeryson,British,2025-03-26 19:47:57.776805
100,enb,ENB,Belgium,2025-03-26 19:47:57.776805
101,jbw,JBW,British,2025-03-26 19:47:57.776805
102,ferguson,Ferguson,British,2025-03-26 19:47:57.776805
103,mbm,MBM,Swiss,2025-03-26 19:47:57.776805
104,behra-porsche,Behra-Porsche,Italian,2025-03-26 19:47:57.776805
105,maserati,Maserati,Italian,2025-03-26 19:47:57.776805
106,scarab,Scarab,American,2025-03-26 19:47:57.776805
107,watson,Watson,American,2025-03-26 19:47:57.776805
108,epperly,Epperly,American,2025-03-26 19:47:57.776805
109,phillips,Phillips,American,2025-03-26 19:47:57.776805
110,lesovsky,Lesovsky,American,2025-03-26 19:47:57.776805
111,trevis,Trevis,American,2025-03-26 19:47:57.776805
112,meskowski,Meskowski,American,2025-03-26 19:47:57.776805
113,kurtis_kraft,Kurtis Kraft,American,2025-03-26 19:47:57.776805
114,kuzma,Kuzma,American,2025-03-26 19:47:57.776805
115,vhristensen,Christensen,American,2025-03-26 19:47:57.776805
116,ewing,Ewing,American,2025-03-26 19:47:57.776805
117,aston_martin,Aston Martin,British,2025-03-26 19:47:57.776805
118,vanwall,Vanwall,British,2025-03-26 19:47:57.776805
119,moore,Moore,American,2025-03-26 19:47:57.776805
120,dunn,Dunn,American,2025-03-26 19:47:57.776805
121,elder,Elder,American,2025-03-26 19:47:57.776805
122,sutton,Sutton,American,2025-03-26 19:47:57.776805
123,fry,Fry,British,2025-03-26 19:47:57.776805
124,tec-mec,Tec-Mec,Italian,2025-03-26 19:47:57.776805
125,connaught,Connaught,British,2025-03-26 19:47:57.776805
126,alta,Alta,British,2025-03-26 19:47:57.776805
127,osca,OSCA,Italian,2025-03-26 19:47:57.776805
128,gordini,Gordini,French,2025-03-26 19:47:57.776805
129,stevens,Stevens,American,2025-03-26 19:47:57.776805
130,bugatti,Bugatti,French,2025-03-26 19:47:57.776805
131,mercedes,Mercedes,German,2025-03-26 19:47:57.776805
132,lancia,Lancia,Italian,2025-03-26 19:47:57.776805
133,hwm,HWM,British,2025-03-26 19:47:57.776805
134,schroeder,Schroeder,American,2025-03-26 19:47:57.776805
135,pawl,Pawl,American,2025-03-26 19:47:57.776805
136,pankratz,Pankratz,American,2025-03-26 19:47:57.776805
137,arzani-volpini,Arzani-Volpini,Italian,2025-03-26 19:47:57.776805
138,nichels,Nichels,American,2025-03-26 19:47:57.776805
139,bromme,Bromme,American,2025-03-26 19:47:57.776805
140,klenk,Klenk,German,2025-03-26 19:47:57.776805
141,simca,Simca,French,2025-03-26 19:47:57.776805
142,turner,Turner,American,2025-03-26 19:47:57.776805
143,del_roy,Del Roy,American,2025-03-26 19:47:57.776805
144,veritas,Veritas,German,2025-03-26 19:47:57.776805
145,bmw,BMW,German,2025-03-26 19:47:57.776805
146,emw,EMW,East German,2025-03-26 19:47:57.776805
147,afm,AFM,German,2025-03-26 19:47:57.776805
148,frazer_nash,Frazer Nash,British,2025-03-26 19:47:57.776805
149,sherman,Sherman,American,2025-03-26 19:47:57.776805
150,deidt,Deidt,American,2025-03-26 19:47:57.776805
151,era,ERA,British,2025-03-26 19:47:57.776805
152,butterworth,Aston Butterworth,British,2025-03-26 19:47:57.776805
153,cisitalia,Cisitalia,Italian,2025-03-26 19:47:57.776805
154,lago,Talbot-Lago,French,2025-03-26 19:47:57.776805
155,hall,Hall,American,2025-03-26 19:47:57.776805
156,marchese,Marchese,American,2025-03-26 19:47:57.776805
157,langley,Langley,American,2025-03-26 19:47:57.776805
158,rae,Rae,American,2025-03-26 19:47:57.776805
159,olson,Olson,American,2025-03-26 19:47:57.776805
160,wetteroth,Wetteroth,American,2025-03-26 19:47:57.776805
161,adams,Adams,American,2025-03-26 19:47:57.776805
162,snowberger,Snowberger,American,2025-03-26 19:47:57.776805
163,milano,Milano,Italian,2025-03-26 19:47:57.776805
164,hrt,HRT,Spanish,2025-03-26 19:47:57.776805
167,cooper-maserati,Cooper-Maserati,British,2025-03-26 19:47:57.776805
166,virgin,Virgin,British,2025-03-26 19:47:57.776805
168,cooper-osca,Cooper-OSCA,British,2025-03-26 19:47:57.776805
169,cooper-borgward,Cooper-Borgward,British,2025-03-26 19:47:57.776805
170,cooper-climax,Cooper-Climax,British,2025-03-26 19:47:57.776805
171,cooper-castellotti,Cooper-Castellotti,British,2025-03-26 19:47:57.776805
172,lotus-climax,Lotus-Climax,British,2025-03-26 19:47:57.776805
173,lotus-maserati,Lotus-Maserati,British,2025-03-26 19:47:57.776805
174,de_tomaso-osca,De Tomaso-Osca,Italian,2025-03-26 19:47:57.776805
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,2025-03-26 19:47:57.776805
176,lotus-brm,Lotus-BRM,British,2025-03-26 19:47:57.776805
177,lotus-borgward,Lotus-Borgward,British,2025-03-26 19:47:57.776805
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,2025-03-26 19:47:57.776805
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,2025-03-26 19:47:57.776805
180,lotus-ford,Lotus-Ford,British,2025-03-26 19:47:57.776805
181,brabham-brm,Brabham-BRM,British,2025-03-26 19:47:57.776805
182,brabham-ford,Brabham-Ford,British,2025-03-26 19:47:57.776805
183,brabham-climax,Brabham-Climax,British,2025-03-26 19:47:57.776805
184,lds-climax,LDS-Climax,South African,2025-03-26 19:47:57.776805
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,2025-03-26 19:47:57.776805
186,cooper-ford,Cooper-Ford,British,2025-03-26 19:47:57.776805
187,mclaren-ford,McLaren-Ford,British,2025-03-26 19:47:57.776805
188,mclaren-seren,McLaren-Serenissima,British,2025-03-26 19:47:57.776805
189,eagle-climax,Eagle-Climax,American,2025-03-26 19:47:57.776805
190,eagle-weslake,Eagle-Weslake,American,2025-03-26 19:47:57.776805
191,brabham-repco,Brabham-Repco,British,2025-03-26 19:47:57.776805
192,cooper-ferrari,Cooper-Ferrari,British,2025-03-26 19:47:57.776805
193,cooper-ats,Cooper-ATS,British,2025-03-26 19:47:57.776805
194,mclaren-brm,McLaren-BRM,British,2025-03-26 19:47:57.776805
195,cooper-brm,Cooper-BRM,British,2025-03-26 19:47:57.776805
196,matra-ford,Matra-Ford,French,2025-03-26 19:47:57.776805
197,brm-ford,BRM-Ford,British,2025-03-26 19:47:57.776805
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,2025-03-26 19:47:57.776805
199,march-alfa_romeo,March-Alfa Romeo,British,2025-03-26 19:47:57.776805
200,march-ford,March-Ford,British,2025-03-26 19:47:57.776805
201,lotus-pw,Lotus-Pratt &amp; Whitney,British,2025-03-26 19:47:57.776805
202,shadow-ford,Shadow-Ford,British,2025-03-26 19:47:57.776805
203,shadow-matra,Shadow-Matra,British,2025-03-26 19:47:57.776805
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,2025-03-26 19:47:57.776805
205,lotus_racing,Lotus,Malaysian,2025-03-26 19:47:57.776805
206,marussia,Marussia,Russian,2025-03-26 19:47:57.776805
207,caterham,Caterham,Malaysian,2025-03-26 19:47:57.776805
208,lotus_f1,Lotus F1,British,2025-03-26 19:47:57.776805
209,manor,Manor Marussia,British,2025-03-26 19:47:57.776805
210,haas,Haas F1 Team,American,2025-03-26 19:47:57.776805
211,racing_point,Racing Point,British,2025-03-26 19:47:57.776805
213,alphatauri,AlphaTauri,Italian,2025-03-26 19:47:57.776805
214,alpine,Alpine F1 Team,French,2025-03-26 19:47:57.776805
